#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
131,Channel Islands,101717,0,228,0,101321,0,168,0,576421,1292,1252808,7099551,176463,0,2,774,0,0,0,952
132,DRC,99338,0,1468,0,84489,0,13381,0,1043,15,846704,8890,95240792,0,959,64878,112,0,0,140
133,French Guiana,98041,0,420,0,11254,0,86367,6,312065,1337,651257,2072951,314169,0,3,748,0,0,0,274906
134,Malawi,89535,0,2686,0,0,0,0,0,4437,133,624784,30959,20180839,0,225,7513,32,0,0,16
135,Senegal,89053,0,1971,0,87024,0,58,0,5044,112,1146543,64946,17653671,0,198,8957,15,0,0,3
136,Ivory Coast,88384,0,835,0,87497,0,52,0,3186,30,1690934,60951,27742298,0,314,33224,16,0,0,2
137,Suriname,82588,0,1408,0,0,0,0,0,138378,2359,242207,405822,596831,0,7,424,2,0,0,52623
138,New Caledonia,80064,0,314,0,0,0,0,0,275214,1079,98964,340182,290915,0,4,926,3,0,0,498
139,French Polynesia,79254,0,650,0,0,0,0,0,278902,2287,0,0,284164,0,4,437,0,0,0,158725
140,Eswatini,75191,0,1427,0,73116,0,648,0,63462,1204,1048704,885119,1184817,0,16,830,1,0,0,547
141,Guyana,74137,0,1300,0,72013,0,824,0,93366,1637,733218,923396,794045,0,11,611,1,0,0,1038
142,Belize,71409,0,688,0,0,0,0,0,173243,1669,576016,1397453,412190,0,6,599,1,0,0,1543
143,Fiji,69117,0,885,0,67226,0,1006,0,75997,973,672883,739866,909466,0,13,1028,1,0,0,1106
144,Madagascar,68486,0,1426,0,66862,0,198,0,2347,49,531329,18210,29178077,0,426,20461,55,0,0,7
145,Cabo Verde,64477,0,417,0,63755,0,305,23,113580,735,401622,707482,567678,0,9,1361,1,0,0,537
146,Sudan,63993,0,5046,0,58947,0,0,0,1391,110,562941,12240,45992020,0,719,9115,82,0,0,0
147,Mauritania,63848,0,997,0,62471,0,380,0,13025,203,1009957,206030,4901981,0,77,4917,5,0,0,78
148,Bhutan,62697,0,21,0,61564,0,1112,0,79571,27,2303734,2923739,787941,0,13,37521,0,0,0,1411
149,Syria,57743,0,3165,0,54578,0,0,0,2982,163,146269,7553,19364809,0,335,6118,132,0,0,0
150,Burundi,54721,0,38,0,53569,0,1114,0,4334,3,345742,27386,12624840,0,231,332233,37,0,0,88
151,Seychelles,51220,0,172,0,51048,0,0,0,515157,1730,0,0,99426,0,2,578,0,0,0,0
152,Gabon,49051,0,307,0,48674,0,70,0,21038,132,1621909,695641,2331533,0,48,7595,1,0,0,30
153,Andorra,48015,0,165,0,0,0,0,0,619844,2130,249838,3225256,77463,0,2,469,0,0,0,3705
154,Papua New Guinea,46864,0,670,0,46168,0,26,0,5043,72,249149,26813,9292169,0,198,13869,37,0,0,3
155,Curaçao,45986,0,295,0,44720,0,971,3,277812,1782,496693,3000640,165529,0,4,561,0,0,0,5866
156,Aruba,44224,0,292,0,42438,0,1494,2,410969,2714,177885,1653068,107609,0,2,369,1,0,0,13884
157,Tanzania,43223,0,846,0,0,0,0,0,683,13,0,0,63298550,0,1464,74821,0,0,0,667
158,Mauritius,43025,0,1051,0,41278,0,696,0,33752,824,358675,281374,1274727,0,30,1213,4,0,0,546
159,Mayotte,42027,0,188,0,0,0,0,0,146815,657,176919,618038,286259,0,7,1523,2,0,0,135804
160,Togo,39572,0,290,0,39281,0,1,0,4559,33,815204,93908,8680837,0,219,29934,11,0,0,0
161,Guinea,38572,0,468,0,37757,0,347,0,2782,34,660107,47607,13865691,0,359,29628,21,0,0,25
162,Bahamas,38084,0,844,0,36366,0,874,1,95087,2107,257839,643767,400516,0,11,475,2,0,0,2182
163,Isle of Man,38008,0,116,0,0,0,0,0,443335,1353,150753,1758422,85732,0,2,739,1,0,0,129450
164,Lesotho,36138,0,723,0,25980,0,9435,0,16610,332,431221,198199,2175699,0,60,3009,5,0,0,4337
165,Haiti,34667,0,860,0,33734,0,73,0,2968,74,132422,11337,11680283,0,337,13582,88,0,0,6
166,Faeroe Islands,34658,0,28,0,0,0,0,0,703959,569,778000,15802409,49233,0,1,1758,0,0,0,547133
167,Mali,33164,0,743,0,32332,0,89,0,1544,35,804909,37483,21473764,0,648,28901,27,0,0,4
